/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : 2019_08_19_Julio_Aula
  Data      : PDF04_Grupo1440_6Pts_
  File Name : PDF04_Grupo1440_6Pts_.RAW

# Profile Datafile
          comment             = Shot Peening 1070 H2 
          date & time         = 08-19-19 15:40:54 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.00000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  160.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.4000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   2.50 (sec) 
          stress type         = 2 
          psi angle           =   0.00 (deg) 

# Data      [ Total No. = 81 ]
  <2Theta>   <   I   >
   152.0000      4928
   152.1000      4990
   152.2000      5002
   152.3000      4954
   152.4000      5002
   152.5000      5012
   152.6000      5180
   152.7000      5190
   152.8000      5244
   152.9000      5174
   153.0000      5334
   153.1000      5396
   153.2000      5608
   153.3000      5688
   153.4000      5720
   153.5000      5812
   153.6000      5804
   153.7000      6172
   153.8000      6194
   153.9000      6486
   154.0000      6552
   154.1000      6720
   154.2000      6808
   154.3000      7170
   154.4000      7296
   154.5000      7668
   154.6000      8108
   154.7000      8232
   154.8000      8528
   154.9000      8848
   155.0000      9154
   155.1000      9454
   155.2000      9848
   155.3000     10232
   155.4000     10422
   155.5000     10702
   155.6000     10984
   155.7000     11166
   155.8000     11272
   155.9000     11660
   156.0000     11426
   156.1000     11622
   156.2000     11682
   156.3000     11594
   156.4000     11478
   156.5000     11284
   156.6000     11152
   156.7000     11038
   156.8000     10870
   156.9000     10470
   157.0000     10208
   157.1000     10218
   157.2000      9824
   157.3000      9490
   157.4000      9254
   157.5000      8770
   157.6000      8796
   157.7000      8446
   157.8000      8008
   157.9000      7818
   158.0000      7784
   158.1000      7470
   158.2000      7006
   158.3000      7060
   158.4000      6834
   158.5000      6670
   158.6000      6632
   158.7000      6528
   158.8000      6310
   158.9000      6124
   159.0000      6126
   159.1000      5918
   159.2000      5884
   159.3000      5748
   159.4000      5690
   159.5000      5580
   159.6000      5556
   159.7000      5518
   159.8000      5398
   159.9000      5430
   160.0000      5324
