/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : 2019_08_19_Julio_Aula
  Data      : PDF04_Grupo1440_6Pts_4
  File Name : PDF04_Grupo1440_6Pts_4.RAW

# Profile Datafile
          comment             = Shot Peening 1070 H2 
          date & time         = 08-19-19 15:54:07 

# Measurement Condition
    X-ray tube
          target              = Cr 
          voltage             = 30.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 2.00000 (mm)  
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.00000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =  152.000 -  160.000 
          scan mode           = Continuous Scan 
          scan speed          =   2.4000 (deg/min) 
          sampling pitch      =   0.1000 (deg) 
          preset time         =   2.50 (sec) 
          stress type         = 2 
          psi angle           =  36.00 (deg) 

# Data      [ Total No. = 81 ]
  <2Theta>   <   I   >
   152.0000      5502
   152.1000      5598
   152.2000      5642
   152.3000      5634
   152.4000      5748
   152.5000      5742
   152.6000      5848
   152.7000      5866
   152.8000      5934
   152.9000      5952
   153.0000      6024
   153.1000      6028
   153.2000      6272
   153.3000      6280
   153.4000      6344
   153.5000      6442
   153.6000      6572
   153.7000      6642
   153.8000      6914
   153.9000      6822
   154.0000      7144
   154.1000      7426
   154.2000      7550
   154.3000      7496
   154.4000      7836
   154.5000      8080
   154.6000      8300
   154.7000      8836
   154.8000      8770
   154.9000      9134
   155.0000      9518
   155.1000      9842
   155.2000     10274
   155.3000     10508
   155.4000     10902
   155.5000     11014
   155.6000     11326
   155.7000     11720
   155.8000     11774
   155.9000     12040
   156.0000     12444
   156.1000     12422
   156.2000     12240
   156.3000     12432
   156.4000     12556
   156.5000     12882
   156.6000     12604
   156.7000     12476
   156.8000     12102
   156.9000     12168
   157.0000     11788
   157.1000     11840
   157.2000     11446
   157.3000     10910
   157.4000     10752
   157.5000     10626
   157.6000     10214
   157.7000     10012
   157.8000      9614
   157.9000      9478
   158.0000      9116
   158.1000      8770
   158.2000      8670
   158.3000      8398
   158.4000      8014
   158.5000      7740
   158.6000      7620
   158.7000      7520
   158.8000      7358
   158.9000      7160
   159.0000      7050
   159.1000      6782
   159.2000      6722
   159.3000      6616
   159.4000      6496
   159.5000      6520
   159.6000      6480
   159.7000      6374
   159.8000      6104
   159.9000      6052
   160.0000      5970
